113.102.66.188 165.90.83.51 89 161 52227 121986028 297057155 535550 506288 2017-08-18-11:55:03.470590 2017-08-18-11:55:04.100083 1 2
57.245.8.149 165.90.83.102 8 123 7312 441146328 533029122 8327 264517 2017-08-18-11:55:02.833082 2017-08-18-11:55:04.079725 1 1
48.209.101.198 85.155.248.149 51 21 55038 399718573 124452698 639064 496053 2017-08-18-11:55:02.283944 2017-08-18-11:55:05.554839 1 1
41.212.98.94 112.160.150.163 89 161 50752 240603623 434381692 652135 290537 2017-08-18-11:55:01.898579 2017-08-18-11:55:04.626382 1 2
57.245.8.149 85.155.248.149 89 5055 53 494601093 115485998 277263 49699 2017-08-18-11:55:01.354108 2017-08-18-11:55:03.563505 1 2
57.245.8.212 19.165.214.157 8 42052 123 461438957 232484355 133501 65237 2017-08-18-11:55:00.956737 2017-08-18-11:55:03.585796 2 2
57.245.8.202 136.226.96.121 17 58947 80 528117211 220162133 91319 141501 2017-08-18-11:55:00.381816 2017-08-18-11:55:00.961937 1 1
124.89.247.40 112.160.150.170 1 6508 23 198796820 258283857 205429 615493 2017-08-18-11:54:59.890092 2017-08-18-11:55:02.790697 1 1
57.245.8.212 19.165.214.157 1 45434 80 286361162 271283692 699047 44623 2017-08-18-11:54:59.325082 2017-08-18-11:55:00.892643 1 2
253.47.111.179 112.160.150.170 51 24920 110 394313920 360906765 346757 225285 2017-08-18-11:54:58.681779 2017-08-18-11:54:59.126127 1 2
