253.47.111.179 112.160.150.170 51 24920 110 394313920 360906765 346757 225285 2017-08-18-11:54:59.681779 2017-08-18-11:54:59.126127 1 2
253.47.111.179 112.160.150.170 51 24920 110 394313920 360906765 346757 225285 2017-08-18-11:59:57.681779 2017-08-18-11:54:59.126127 1 2
253.47.111.179 112.160.150.170 51 24920 110 394313920 360906765 346757 225285 2017-08-18-12:04:58.681779 2017-08-18-11:54:59.126127 1 2
253.47.111.179 112.160.150.170 51 24920 110 394313920 360906765 346757 225285 2017-08-18-12:09:57.681779 2017-08-18-11:54:59.126127 1 2
253.47.111.179 112.160.150.170 51 24920 110 394313920 360906765 346757 225285 2017-08-18-12:14:59.681779 2017-08-18-11:54:59.126127 1 2
57.245.8.212 19.165.214.157 1 45434 80 286361162 271283692 699047 44623 2017-08-18-11:21:58.325082 2017-08-18-11:55:00.892643 1 2
57.245.8.212 19.165.214.157 1 45434 80 286361162 271283692 699047 44623 2017-08-18-11:32:57.325082 2017-08-18-11:55:00.892643 1 2
57.245.8.212 19.165.214.157 1 45434 80 286361162 271283692 699047 44623 2017-08-18-11:43:59.325082 2017-08-18-11:55:00.892643 1 2
57.245.8.212 19.165.214.157 1 45434 80 286361162 271283692 699047 44623 2017-08-18-11:44:56.325082 2017-08-18-11:55:00.892643 1 2
57.245.8.212 19.165.214.157 1 45434 80 286361162 271283692 699047 44623 2017-08-18-11:54:58.325082 2017-08-18-11:55:00.892643 1 2
