1916,7557,462,430,2787,2017,6169,2887,3904,2795,8904,2913,7691,7933,8534,4699,8165,786,6482,7137,8947,3974,3405,2149,5103
5725,2620,2394,5296,1220,4188,6924,7180,1899,2540,7664,5508,9078,2897,1445,1325,9140,8867,1599,4830,2335,4161,2807,5511,6858
2058,2848,9819,8512,6863,2875,9442,6455,3194,7960,1742,1982,3020,1589,4500,9460,5404,5957,4888,6364,9842,9132,1412,2008,7144
3002,3987,922,2016,3555,2458,5995,1040,4782,258,6694,332,7659,3487,1037,384,3674,8879,2170,9030,330,3906,1787,2057,5502
6106,7037,8065,2337,7335,6047,3545,7988,4990,4094,641,2047,4953,610,9144,7055,7672,7966,4823,3422,8607,2672,7965,6905,722
5641,1212,9549,4553,8622,6571,9471,5860,1031,2130,9660,2531,1615,7100,1434,6997,682,2182,1208,9291,9665,4885,3241,8913,250
9199,5628,2306,1050,8309,9462,242,9481,5806,2187,4733,8105,4638,7541,9725,6876,9975,7227,700,6240,2455,2011,5057,4186,6412
9012,6195,4751,8124,6693,5088,3005,1569,1747,7502,2215,2713,3976,6667,3421,6972,4798,3355,6598,5319,2619,2163,8542,7211,204
8434,5067,8231,7394,4964,1446,5210,1461,8047,5625,6778,1872,6330,3728,7958,8673,4343,2477,9899,2927,9192,1767,4653,9990,1350
323,2532,5695,9542,1167,4761,7193,5710,118,961,5928,9038,1432,8180,8510,808,9169,6861,4053,6908,1593,9068,6953,9758,3203
3273,6602,9897,7616,246,97,3804,9015,1456,5756,9097,2607,278,5825,7054,2684,8952,6880,3872,4289,8505,4022,1321,5682,9532
8108,5888,9294,4350,3346,9651,1231,8922,2973,4346,6583,3937,4093,8642,9822,9755,8307,417,5339,4322,1947,7962,7703,2023,2223
3214,4592,3109,5856,2198,6897,7819,8459,7458,7257,5270,4900,6723,5900,7490,3201,8666,6809,795,1251,528,3500,9187,3770,2323
3159,4829,9953,9662,9658,9159,6299,655,480,7858,2773,3261,4368,1508,1809,5812,6704,6562,9976,6142,8263,7391,7373,8898,1500
1036,4919,3791,5203,9092,9005,6414,220,2904,8391,3600,5943,4086,8148,4934,1342,9150,673,7985,8599,9320,9016,2086,5689,4711
9379,532,8248,3585,9849,6300,582,9674,8400,4596,4654,5556,9585,4041,5522,5403,1946,9579,876,6008,934,9945,8953,3398,1659
6740,6363,7698,9715,51,8980,1805,1161,1546,9031,6220,2779,93,9788,870,7905,5593,9440,8111,171,9514,6827,1383,9112,126
